Station;Datum;Behandling;Ruta;Sandförekomst %;Kommentar (kornstorlek mm);Slåtter eller inte;
Avesta;20170704;Ytskrapning;1;95;Lös mellansand blandat med stora stenar och grus;Ingen;
Avesta;20170704;Ytskrapning;2;80;Lös mellansand blandat med stora stenar och grus;Ingen;
Avesta;20170704;Ytskrapning;3;96;Lös mellansand blandat med stora stenar och grus;Ingen;
Avesta;20170704;Ytskrapning;4;95;Lös mellansand blandat med stora stenar och grus;Ingen;
Avesta;20170704;Ytskrapning;5;95;Lös mellansand blandat med stora stenar och grus;Ingen;
Avesta;20170704;Ytskrapning;6;75;Lös mellansand blandat med stora stenar och grus;Ingen;
Jularbo;20170605;Ytskrapning;1;95;Lös mellansand blandat med stora stenar och grus;Inget än;
Jularbo;20170605;Ytskrapning;2;95;Lös mellansand blandat med stora stenar och grus;Inget än;
Jularbo;20170605;Ytskrapning;3;95;Lös mellansand blandat med stora stenar och grus;Inget än;
Jularbo;20170605;Ytskrapning;4;20;Lös mellansand blandat med stora stenar och grus;Inget än;
Jularbo;20170605;Ytskrapning;5;90;Lös mellansand blandat med stora stenar och grus;Inget än;
Jularbo;20170605;Ytskrapning;6;90;Lös mellansand blandat med stora stenar och grus;Inget än;
Byvalla;20170607;Ytskrapning;1;99;Lös mellansand blandat med stora stenar och grus;Slåtter;
Byvalla;20170607;Ytskrapning;2;80;Lös mellansand blandat med stora stenar och grus;Slåtter;
Byvalla;20170607;Ytskrapning;3;70;Lös mellansand blandat med stora stenar och grus;Slåtter;
Byvalla;20170607;Ytskrapning;4;75;Lös mellansand blandat med stora stenar och grus;Slåtter;
Byvalla;20170607;Ytskrapning;5;65;Lös mellansand blandat med stora stenar och grus;Slåtter;
Byvalla;20170607;Ytskrapning;6;75;Lös mellansand blandat med stora stenar och grus;Slåtter;
Byvalla;20170607;Ytskrapning;1;60;Lös mellansand blandat med stora stenar och grus;Ej slåtter;
Byvalla;20170607;Ytskrapning;2;55;Lös mellansand blandat med stora stenar och grus;Ej slåtter;
Byvalla;20170607;Ytskrapning;3;65;Lös mellansand blandat med stora stenar och grus;Ej slåtter;
Byvalla;20170607;Ytskrapning;4;30;Lös mellansand blandat med stora stenar och grus;Ej slåtter;
Byvalla;20170607;Ytskrapning;5;75;Lös mellansand blandat med stora stenar och grus;Ej slåtter;
Byvalla;20170607;Ytskrapning;6;70;Lös mellansand blandat med stora stenar och grus;Ej slåtter;
Gustafs;20170710;Ytskrapning;1;50;Lös sand;Slåtter;
Gustafs;20170710;Ytskrapning;2;75;Lös sand;Slåtter;
Gustafs;20170710;Ytskrapning;3;90;Lös sand;Slåtter;
Gustafs;20170710;Ytskrapning;4;50;Lös sand;Slåtter;
Gustafs;20170710;Ytskrapning;5;30;Lös sand;Slåtter;
Gustafs;20170710;Ytskrapning;6;0;Lös sand;Slåtter;
Gustafs;20170710;Ytskrapning;1;20;Lös sand;Ej slåtter;
Gustafs;20170710;Ytskrapning;2;20;Lös sand;Ej slåtter;
Gustafs;20170710;Ytskrapning;3;85;Lös sand;Ej slåtter;
Gustafs;20170710;Ytskrapning;4;75;Lös sand;Ej slåtter;
Gustafs;20170710;Ytskrapning;5;0;Lös sand;Ej slåtter;
Gustafs;20170710;Ytskrapning;6;5;Lös sand;Ej slåtter;
Brunflo;20170718;Rotryckning;1;1;Grus- och sandblandad jord.  Tunt förnalager, grässvål och mossa.;;
Brunflo;20170718;Rotryckning;2;3;Grus- och sandblandad jord.  Tunt förnalager, grässvål och mossa.;;
Brunflo;20170718;Rotryckning;3;0;Jord och grovkornigt grus. Grässvål. Förekomst av getväppling.;;
Brunflo;20170718;Rotryckning;4;0;Ingen sand ytligt. Getväppling, liten blåklocka.;;
Brunflo;20170718;Rotryckning;5;2;Mest inblandat i jord och grus.;;
Brunflo;20170718;Rotryckning;6;1;Inblandat i jord. Grusigt/stenigt.;;
Brunflo;20170718;Ytskrapning;1;70;Sten- och grusblandad sand med jordinslag. Rätt mycket stora stenar.;;
Brunflo;20170718;Ytskrapning;2;50;Mer sten än ruta 1;;
Brunflo;20170718;Ytskrapning;3;60;Grus och sten med sand mellan. Även sandblandad jord.;;
Brunflo;20170718;Ytskrapning;4;40;Mycket sten.;;
Brunflo;20170718;Ytskrapning;5;40;Mycket sten och grus.;;
Brunflo;20170718;Ytskrapning;6;50;Grusigt och stenigt.;;
Ope;20170719;Ytskrapning;1;20;Smågrusigt, visst sandinslag under. Förna inblandat.;;
Ope;20170719;Ytskrapning;2;30;Smågrusigt, visst sandinslag under. Förna inblandat. Markskärningar.;;
Ope;20170719;Ytskrapning;3;40;Mer tydligt sandinslag i jorden men mestadels under gruslager.;;
Ope;20170719;Ytskrapning;4;30;Under gruslager. Skärningar förekommer.;;
Ope;20170719;Ytskrapning;5;30;Småkuperat av markskärningar. Grus och större sten förekommer.;;
Ope;20170719;Ytskrapning;6;30;Småkuperat av markskärningar. Grus och större sten förekommer.;;
Ope;20170719;Rotryckning;1;0;Ytligt gruslager med grässvål.;;
Ope;20170719;Rotryckning;2;0;Tjock grässvål. Grus kan kännas genom denna på vissa håll.;;
Ope;20170719;Rotryckning;3;0;Fläckvis grässvål och mossmatta på grus.;;
Ope;20170719;Rotryckning;4;1;Sand finns inblandat i grusig mark.;;
Ope;20170719;Rotryckning;5;1;Tät grässvål, sparsam sandinblandning i jorden. Även grusigt.;;
Ope;20170719;Rotryckning;6;0;Grusdominerad mark med grässvål och mossor.;;
Trångsviken;20170720;Ytskrapning;1;5;Mycket små gruskorn. Porös jord däremellan.;;
Trångsviken;20170720;Ytskrapning;2;5;Grus och sten. Ett mindre hak. Porös jord och grus.;;
Trångsviken;20170720;Ytskrapning;3;5;Grus, delvis packat. Jord och ett mindre hak.;;
Trångsviken;20170720;Ytskrapning;4;5;Grus, delvis packat. Lite kuperat med tuvor.;;
Trångsviken;20170720;Ytskrapning;5;5;Grus, delvis packat.;;
Trångsviken;20170720;Ytskrapning;6;5;Grus, delvis packat.;;
Trångsviken;20170720;Rotryckning;1;1;Sparsam sandinblandning i grus och jord. Mestadels täckt av grässvål och mossor.;;
Trångsviken;20170720;Rotryckning;2;0;Utvecklad grässvål med mossor. Ingen blottad mineraljord.;;
Trångsviken;20170720;Rotryckning;3;2;Öppen jord med sandinblandning. Rätt hårt packat.;;
Trångsviken;20170720;Rotryckning;4;3;Hårt packad sandblandad jord. Mosstäcke. Vissa möjligheter för grävande insekter i körspår.;;
Trångsviken;20170720;Rotryckning;5;1;Jord med sandinblandning. Främst mosstäckt men grus/sand/jord i skärning.;;
Trångsviken;20170720;Rotryckning;6;1;Mest täckt av grässvål. Sand inblandat i jorden.;;
Mattmar;20170722;Ytskrapning;1;20;Grus-/sand-/jordblandad mark. Halvpackat, men poröst. Smulas lätt.;;
Mattmar;20170722;Ytskrapning;2;20;Grus-/sand-/jordblandad mark. Halvpackat, men poröst. Smulas lätt.;;
Mattmar;20170722;Ytskrapning;3;20;Grus-/sand-/jordblandad mark. Halvpackat, men poröst. Smulas lätt.;;
Mattmar;20170722;Ytskrapning;4;30;Grus-/sand-/jordblandad mark med större stenar. Små hak. Halvpackat, smulas relativt lätt.;;
Mattmar;20170722;Ytskrapning;5;30;Grus-/sand-/jordblandad mark med större stenar. Små hak. Halvpackat, smulas relativt lätt.;;
Mattmar;20170722;Ytskrapning;6;30;Grus-/sand-/jordblandad mark med större stenar. Små hak. Halvpackat, smulas relativt lätt.;;
Mattmar;20170722;Rotryckning;1;1;Inblandat i jorden. Täcks av mossor och tät grässvål.;;
Mattmar;20170722;Rotryckning;2;1;Inblandat i jorden. Täcks av mossor och fläckvis utbredd grässvål.;;
Mattmar;20170722;Rotryckning;3;3;Inblandat i jord. Blottor genom gamla körspår.;;
Mattmar;20170722;Rotryckning;4;2;Inblandat i jord. Blottor genom gamla körspår.;;
Mattmar;20170722;Rotryckning;5;2;Inblandat i jord. Blottor genom gamla körspår.;;
Mattmar;20170722;Rotryckning;6;3;Ytligt liggande makadam med gott om sten- och jordblottor. Sandinblandning i den porösa jorden. Även grus.;;
Avesta;20170704;Rotryckning;1;0;Lös mellansand blandat med stora stenar och grus;Ingen;
Avesta;20170704;Rotryckning;2;0;Lös mellansand blandat med stora stenar och grus;Ingen;
Avesta;20170704;Rotryckning;3;5;Lös mellansand blandat med stora stenar och grus;Ingen;
Avesta;20170704;Rotryckning;4;3;Lös mellansand blandat med stora stenar och grus;Ingen;
Avesta;20170704;Rotryckning;5;3;Lös mellansand blandat med stora stenar och grus;Ingen;
Avesta;20170704;Rotryckning;6;0;Lös mellansand blandat med stora stenar och grus;Ingen;
Jularbo;20170704;Rotryckning;1;2;Lös finsand med vissa grövre sten;Inget än;
Jularbo;20170704;Rotryckning;2;0;Lös finsand med vissa grövre sten;Inget än;
Jularbo;20170704;Rotryckning;3;70;Lös finsand med vissa grövre sten;Inget än;
Jularbo;20170704;Rotryckning;4;90;Lös finsand med vissa grövre sten;Inget än;
Jularbo;20170704;Rotryckning;5;25;Lös finsand med vissa grövre sten;Inget än;
Jularbo;20170704;Rotryckning;6;10;Lös finsand med vissa grövre sten;Inget än;
Byvalla;20170706;Rotryckning;1;5;Lös finsand med vissa grövre sten;Slåtter;
Byvalla;20170706;Rotryckning;2;5;Lös finsand med vissa grövre sten;Slåtter;
Byvalla;20170706;Rotryckning;3;10;Lös finsand med vissa grövre sten;Slåtter;
Byvalla;20170706;Rotryckning;4;30;Lös finsand med vissa grövre sten;Slåtter;
Byvalla;20170706;Rotryckning;5;10;Lös finsand med vissa grövre sten;Slåtter;
Byvalla;20170706;Rotryckning;6;0;Lös finsand med vissa grövre sten;Slåtter;
Byvalla;20170706;Rotryckning;1;0;Lös finsand med vissa grövre sten;Ej slåtter;
Byvalla;20170706;Rotryckning;2;0;Lös finsand med vissa grövre sten;Ej slåtter;
Byvalla;20170706;Rotryckning;3;0;Lös finsand med vissa grövre sten;Ej slåtter;
Byvalla;20170706;Rotryckning;4;0;Lös finsand med vissa grövre sten;Ej slåtter;
Byvalla;20170706;Rotryckning;5;0;Lös finsand med vissa grövre sten;Ej slåtter;
Byvalla;20170706;Rotryckning;6;5;Lös finsand med vissa grövre sten;Ej slåtter;
Gustafs;20170710;Rotryckning;1;0;Lös finsand;Slåtter;
Gustafs;20170710;Rotryckning;2;2;Lös finsand;Slåtter;
Gustafs;20170710;Rotryckning;3;3;Lös finsand;Slåtter;
Gustafs;20170710;Rotryckning;4;0;Lös finsand;Slåtter;
Gustafs;20170710;Rotryckning;5;0;Lös finsand;Slåtter;
Gustafs;20170710;Rotryckning;6;0;Lös finsand;Slåtter;
Gustafs;20170710;Rotryckning;1;15;Lös finsand;Ej slåtter;
Gustafs;20170710;Rotryckning;2;0;Lös finsand;Ej slåtter;
Gustafs;20170710;Rotryckning;3;20;Lös finsand;Ej slåtter;
Gustafs;20170710;Rotryckning;4;0;Lös finsand;Ej slåtter;
Gustafs;20170710;Rotryckning;5;0;Lös finsand;Ej slåtter;
Gustafs;20170710;Rotryckning;6;0;Lös finsand;Ej slåtter;
Dagarn;20160815;Rotryckning;1;30;;;
Dagarn;20160815;Rotryckning;2;30;;;
Dagarn;20160815;Rotryckning;3;0;;;
Dagarn;20160815;Rotryckning;4;5;Sand inblandat i jorden;;
Dagarn;20160815;Rotryckning;5;0;Sand inblandat i jorden;;
Dagarn;20160815;Rotryckning;6;5;;;
Dala-Järna;20160818;Rotryckning;1;30;Sand förekommer som små sandblottor.;;
Dala-Järna;20160818;Rotryckning;2;60;Packad sand blandad med grus.;;
Dala-Järna;20160818;Rotryckning;3;40;Sandfläckar, måttligt packad sand.;;
Dala-Järna;20160818;Rotryckning;4;60;Sandfläckar, måttligt packad sand.;;
Dala-Järna;20160818;Rotryckning;5;60;Rätt hårt packad sand med grusinblandning.;;
Dala-Järna;20160818;Rotryckning;6;50;Sand blandat med grus. Måttligt packat.;;
Grängesberg;20160817;Rotryckning;1;4;Tjockt mosstäcke, liten fläck med sandblandad jord.;;
Grängesberg;20160817;Rotryckning;2;0;Mossbevuxen jord/packad makadam.;;
Grängesberg;20160817;Rotryckning;3;2;Packad makadam med en sand-/jordblotta.;;
Grängesberg;20160817;Rotryckning;4;0;Mossa på makadam, viss torvbildnig;;
Grängesberg;20160817;Rotryckning;5;0;Sandblandad jord (lika delar) under mossan. Inga kala fläckar. ;;
Grängesberg;20160817;Rotryckning;6;0;;;
Kopparberg;20160817;Rotryckning;1;0;Hårt packat, grus och mossor;;
Kopparberg;20160817;Rotryckning;2;0;Hårt packat grus med sandblandad jord, mestadels mosstäckt;;
Kopparberg;20160817;Rotryckning;3;0;Hårt packat grus med sandblandad jord, mestadels mosstäckt;;
Kopparberg;20160817;Rotryckning;4;5;Inblandad jord mellan packat grus;;
Kopparberg;20160817;Rotryckning;5;0;Väldigt lite jord/sand finns mellan det hårt packade gruset;;
Kopparberg;20160817;Rotryckning;6;90;Finkornig packad sand med grusinblandning;;
Kopparberg;20160817;Ytskrapning;1;20;Sand inblandat i jord. Poröst.;;
Kopparberg;20160817;Ytskrapning;2;50;Sand i jorden. Lämpligt för grävande insekter, bohål finns.;;
Kopparberg;20160817;Ytskrapning;3;70;Yttersta 15 cm av ytan slagen vid vägslåtter. Bohål finns.;;
Kopparberg;20160817;Ytskrapning;4;40;Sand i jorden. Rätt mycket sten.;;
Kopparberg;20160817;Ytskrapning;5;50;Sanden uppblandad med jord och grus.;;
Kopparberg;20160817;Ytskrapning;6;50;;;
Krampen;20160815;Rotryckning;1;0;Grässvål;;
Krampen;20160815;Rotryckning;2;5;;;
Krampen;20160815;Rotryckning;3;5;;;
Krampen;20160815;Rotryckning;4;1;;;
Krampen;20160816;Rotryckning;5;5;;;
Krampen;20160816;Rotryckning;6;75;Uppblandat med grus;;
Krampen;20160815;Ytskrapning;1;75;Uppblandat med grus;;
Krampen;20160815;Ytskrapning;2;65;Uppblandat med grus;;
Krampen;20160815;Ytskrapning;3;85;Uppblandat med grus;;
Krampen;20160815;Ytskrapning;4;85;Uppblandat med grus;;
Krampen;20160815;Ytskrapning;5;90;Uppblandat med grus;;
Krampen;20160815;Ytskrapning;6;75;Rätt mycket sten. I övrigt sand/grus.;;
Mockfjärd;20160818;Rotryckning;1;0;makadam;;
Mockfjärd;20160818;Rotryckning;2;10;Sand förekommer inblandat i jorden och som små fläckar.;;
Mockfjärd;20160818;Rotryckning;3;80;Sand blandat med olika grusfraktioner.;;
Mockfjärd;20160818;Rotryckning;4;1;Sandblandad jord mellan makadam. En filtlavsmatta täcker större delen av rutan.;;
Mockfjärd;20160818;Rotryckning;5;1;;;
Mockfjärd;20160818;Rotryckning;6;0;Sandblandad jord under tätt mosslager. Grusinblandning.;;
Repbäcken;20160818;Rotryckning;1;0;Grässvål/sten;;
Repbäcken;20160818;Rotryckning;2;0;Grässvål/sten;;
Repbäcken;20160818;Rotryckning;3;55;Uppblandat med finkornigt grus. Grässvål finns.;;
Repbäcken;20160818;Rotryckning;4;95;Grusblandat. Bohål finns strax utanför rutan. Halvpackat men poröst.;;
Repbäcken;20160818;Rotryckning;5;25;Mest grus. Packat.;;
Repbäcken;20160818;Rotryckning;6;50;Grusblandad packad sand. Inslag av block och grässvål.;;
Repbäcken;20160818;Ytskrapning;1;70;Sandblandad jord. Porös, lämplig för myror. Uppblandad till viss del med grus.;;
Repbäcken;20160818;Ytskrapning;2;60;"Grus-/jordblandad sand i NV. ""Lagom"" packad. Inslag av större sten.";;
Repbäcken;20160818;Ytskrapning;3;45;Grässvål och bitvis kraftigt grusinslag.;;
Repbäcken;20160818;Ytskrapning;4;90;;;
Repbäcken;20160818;Ytskrapning;5;50;"Grässvål och sand mellan ""plankor""";;
Repbäcken;20160818;Ytskrapning;6;60;Grässvål och slipers;;
Ställdalen;20160623;Rotryckning;1;0;;;
Ställdalen;20160816;Rotryckning;2;0;;;
Ställdalen;20160816;Rotryckning;3;6;Sand uppförd av myror.;;
Ställdalen;20160816;Rotryckning;4;30;;;
Ställdalen;20160816;Rotryckning;5;4;Mestadels grässvål;;
Ställdalen;20160816;Rotryckning;6;45;Mycket sten;;
Vansbro;20160819;Ytskrapning;1;45;Grusblandat med moss- och vegetationstäckning. Rätt packat.;;
Vansbro;20160819;Ytskrapning;2;40;Grusblandat, grässvål;;
Vansbro;20160819;Ytskrapning;3;50;Grusblandat, inte så mycket gräs;;
Vansbro;20160819;Ytskrapning;4;50;Grusblandat, stenigt, tuvor av fårsvingel;;
Vansbro;20160819;Ytskrapning;5;40;Grusblandat, stenigt;;
Vansbro;20160819;Ytskrapning;6;60;Grusblandat, stenigt;;
