År;Year;Station;Datum;Behandling;Ruta;Sandförekomst %;Kommentar (kornstorlek mm);Slåtter eller inte;Data comment
2017;;Avesta;20170704;Ytskrapning;1;95;Lös mellansand blandat med stora stenar och grus;Ingen;
2017;;Avesta;20170704;Ytskrapning;2;80;Lös mellansand blandat med stora stenar och grus;Ingen;
2017;;Avesta;20170704;Ytskrapning;3;96;Lös mellansand blandat med stora stenar och grus;Ingen;
2017;;Avesta;20170704;Ytskrapning;4;95;Lös mellansand blandat med stora stenar och grus;Ingen;
2017;;Avesta;20170704;Ytskrapning;5;95;Lös mellansand blandat med stora stenar och grus;Ingen;
2017;;Avesta;20170704;Ytskrapning;6;75;Lös mellansand blandat med stora stenar och grus;Ingen;
2017;;Jularbo;20170605;Ytskrapning;1;95;Lös mellansand blandat med stora stenar och grus;Inget än;
2017;;Jularbo;20170605;Ytskrapning;2;95;Lös mellansand blandat med stora stenar och grus;Inget än;
2017;;Jularbo;20170605;Ytskrapning;3;95;Lös mellansand blandat med stora stenar och grus;Inget än;
2017;;Jularbo;20170605;Ytskrapning;4;20;Lös mellansand blandat med stora stenar och grus;Inget än;
2017;;Jularbo;20170605;Ytskrapning;5;90;Lös mellansand blandat med stora stenar och grus;Inget än;
2017;;Jularbo;20170605;Ytskrapning;6;90;Lös mellansand blandat med stora stenar och grus;Inget än;
2017;;Byvalla;20170607;ytskrapning/slåtter;1;99;Lös mellansand blandat med stora stenar och grus;Slåtter;
2017;;Byvalla;20170607;ytskrapning/slåtter;2;80;Lös mellansand blandat med stora stenar och grus;Slåtter;
2017;;Byvalla;20170607;ytskrapning/slåtter;3;70;Lös mellansand blandat med stora stenar och grus;Slåtter;
2017;;Byvalla;20170607;ytskrapning/slåtter;4;75;Lös mellansand blandat med stora stenar och grus;Slåtter;
2017;;Byvalla;20170607;ytskrapning/slåtter;5;65;Lös mellansand blandat med stora stenar och grus;Slåtter;
2017;;Byvalla;20170607;ytskrapning/slåtter;6;75;Lös mellansand blandat med stora stenar och grus;Slåtter;
2017;;Byvalla;20170607;ytskrapning;1;60;Lös mellansand blandat med stora stenar och grus;Ej slåtter;
2017;;Byvalla;20170607;ytskrapning;2;55;Lös mellansand blandat med stora stenar och grus;Ej slåtter;
2017;;Byvalla;20170607;ytskrapning;3;65;Lös mellansand blandat med stora stenar och grus;Ej slåtter;
2017;;Byvalla;20170607;ytskrapning;4;30;Lös mellansand blandat med stora stenar och grus;Ej slåtter;
2017;;Byvalla;20170607;ytskrapning;5;75;Lös mellansand blandat med stora stenar och grus;Ej slåtter;
2017;;Byvalla;20170607;ytskrapning;6;70;Lös mellansand blandat med stora stenar och grus;Ej slåtter;
2017;;Gustafs;20170710;ytskrapning/slåtter;1;50;Lös sand;Slåtter;
2017;;Gustafs;20170710;ytskrapning/slåtter;2;75;Lös sand;Slåtter;
2017;;Gustafs;20170710;ytskrapning/slåtter;3;90;Lös sand;Slåtter;
2017;;Gustafs;20170710;ytskrapning/slåtter;4;50;Lös sand;Slåtter;
2017;;Gustafs;20170710;ytskrapning/slåtter;5;30;Lös sand;Slåtter;
2017;;Gustafs;20170710;ytskrapning/slåtter;6;0;Lös sand;Slåtter;
2017;;Gustafs;20170710;ytskrapning;1;20;Lös sand;Ej slåtter;
2017;;Gustafs;20170710;ytskrapning;2;20;Lös sand;Ej slåtter;
2017;;Gustafs;20170710;ytskrapning;3;85;Lös sand;Ej slåtter;
2017;;Gustafs;20170710;ytskrapning;4;75;Lös sand;Ej slåtter;
2017;;Gustafs;20170710;ytskrapning;5;0;Lös sand;Ej slåtter;
2017;;Gustafs;20170710;ytskrapning;6;5;Lös sand;Ej slåtter;
2017;1;Brunflo;20170718;rotryckning;1;1;Grus- och sandblandad jord.  Tunt förnalager, grässvål och mossa.;;
2017;1;Brunflo;20170718;rotryckning;2;3;Grus- och sandblandad jord.  Tunt förnalager, grässvål och mossa.;;
2017;1;Brunflo;20170718;rotryckning;3;0;Jord och grovkornigt grus. Grässvål. Förekomst av getväppling.;;
2017;1;Brunflo;20170718;rotryckning;4;0;Ingen sand ytligt. Getväppling, liten blåklocka.;;
2017;1;Brunflo;20170718;rotryckning;5;2;Mest inblandat i jord och grus.;;
2017;1;Brunflo;20170718;rotryckning;6;1;Inblandat i jord. Grusigt/stenigt.;;
2017;1;Brunflo;20170718;ytskrapning;1;70;Sten- och grusblandad sand med jordinslag. Rätt mycket stora stenar.;;
2017;1;Brunflo;20170718;ytskrapning;2;50;Mer sten än ruta 1;;
2017;1;Brunflo;20170718;ytskrapning;3;60;Grus och sten med sand mellan. Även sandblandad jord.;;
2017;1;Brunflo;20170718;ytskrapning;4;40;Mycket sten.;;
2017;1;Brunflo;20170718;ytskrapning;5;40;Mycket sten och grus.;;
2017;1;Brunflo;20170718;ytskrapning;6;50;Grusigt och stenigt.;;
2017;1;Ope;20170719;ytskrapning;1;20;Smågrusigt, visst sandinslag under. Förna inblandat.;;
2017;1;Ope;20170719;ytskrapning;2;30;Smågrusigt, visst sandinslag under. Förna inblandat. Markskärningar.;;
2017;1;Ope;20170719;ytskrapning;3;40;Mer tydligt sandinslag i jorden men mestadels under gruslager.;;
2017;1;Ope;20170719;ytskrapning;4;30;Under gruslager. Skärningar förekommer.;;
2017;1;Ope;20170719;ytskrapning;5;30;Småkuperat av markskärningar. Grus och större sten förekommer.;;
2017;1;Ope;20170719;ytskrapning;6;30;Småkuperat av markskärningar. Grus och större sten förekommer.;;
2017;1;Ope;20170719;rotryckning;1;0;Ytligt gruslager med grässvål.;;
2017;1;Ope;20170719;rotryckning;2;0;Tjock grässvål. Grus kan kännas genom denna på vissa håll.;;
2017;1;Ope;20170719;rotryckning;3;0;Fläckvis grässvål och mossmatta på grus.;;
2017;1;Ope;20170719;rotryckning;4;1;Sand finns inblandat i grusig mark.;;
2017;1;Ope;20170719;rotryckning;5;1;Tät grässvål, sparsam sandinblandning i jorden. Även grusigt.;;
2017;1;Ope;20170719;rotryckning;6;0;Grusdominerad mark med grässvål och mossor.;;
2017;1;Trångsviken;20170720;ytskrapning;1;5;Mycket små gruskorn. Porös jord däremellan.;;
2017;1;Trångsviken;20170720;ytskrapning;2;5;Grus och sten. Ett mindre hak. Porös jord och grus.;;
2017;1;Trångsviken;20170720;ytskrapning;3;5;Grus, delvis packat. Jord och ett mindre hak.;;
2017;1;Trångsviken;20170720;ytskrapning;4;5;Grus, delvis packat. Lite kuperat med tuvor.;;
2017;1;Trångsviken;20170720;ytskrapning;5;5;Grus, delvis packat.;;
2017;1;Trångsviken;20170720;ytskrapning;6;5;Grus, delvis packat.;;
2017;1;Trångsviken;20170720;rotryckning;1;1;Sparsam sandinblandning i grus och jord. Mestadels täckt av grässvål och mossor.;;
2017;1;Trångsviken;20170720;rotryckning;2;0;Utvecklad grässvål med mossor. Ingen blottad mineraljord.;;
2017;1;Trångsviken;20170720;rotryckning;3;2;Öppen jord med sandinblandning. Rätt hårt packat.;;
2017;1;Trångsviken;20170720;rotryckning;4;3;Hårt packad sandblandad jord. Mosstäcke. Vissa möjligheter för grävande insekter i körspår.;;
2017;1;Trångsviken;20170720;rotryckning;5;1;Jord med sandinblandning. Främst mosstäckt men grus/sand/jord i skärning.;;
2017;1;Trångsviken;20170720;rotryckning;6;1;Mest täckt av grässvål. Sand inblandat i jorden.;;
2017;1;Mattmar;20170722;ytskrapning;1;20;Grus-/sand-/jordblandad mark. Halvpackat, men poröst. Smulas lätt.;;
2017;1;Mattmar;20170722;ytskrapning;2;20;Grus-/sand-/jordblandad mark. Halvpackat, men poröst. Smulas lätt.;;
2017;1;Mattmar;20170722;ytskrapning;3;20;Grus-/sand-/jordblandad mark. Halvpackat, men poröst. Smulas lätt.;;
2017;1;Mattmar;20170722;ytskrapning;4;30;Grus-/sand-/jordblandad mark med större stenar. Små hak. Halvpackat, smulas relativt lätt.;;
2017;1;Mattmar;20170722;ytskrapning;5;30;Grus-/sand-/jordblandad mark med större stenar. Små hak. Halvpackat, smulas relativt lätt.;;
2017;1;Mattmar;20170722;ytskrapning;6;30;Grus-/sand-/jordblandad mark med större stenar. Små hak. Halvpackat, smulas relativt lätt.;;
2017;1;Mattmar;20170722;rotryckning;1;1;Inblandat i jorden. Täcks av mossor och tät grässvål.;;
2017;1;Mattmar;20170722;rotryckning;2;1;Inblandat i jorden. Täcks av mossor och fläckvis utbredd grässvål.;;
2017;1;Mattmar;20170722;rotryckning;3;3;Inblandat i jord. Blottor genom gamla körspår.;;
2017;1;Mattmar;20170722;rotryckning;4;2;Inblandat i jord. Blottor genom gamla körspår.;;
2017;1;Mattmar;20170722;rotryckning;5;2;Inblandat i jord. Blottor genom gamla körspår.;;
2017;1;Mattmar;20170722;rotryckning;6;3;Ytligt liggande makadam med gott om sten- och jordblottor. Sandinblandning i den porösa jorden. Även grus.;;
2017;;Avesta;20170704;Rotryckning;1;0;Lös mellansand blandat med stora stenar och grus;Ingen;
2017;;Avesta;20170704;Rotryckning;2;0;Lös mellansand blandat med stora stenar och grus;Ingen;
2017;;Avesta;20170704;Rotryckning;3;5;Lös mellansand blandat med stora stenar och grus;Ingen;
2017;;Avesta;20170704;Rotryckning;4;3;Lös mellansand blandat med stora stenar och grus;Ingen;
2017;;Avesta;20170704;Rotryckning;5;3;Lös mellansand blandat med stora stenar och grus;Ingen;
2017;;Avesta;20170704;Rotryckning;6;0;Lös mellansand blandat med stora stenar och grus;Ingen;
2017;;Jularbo;20170704;Rotryckning;1;2;Lös finsand med vissa grövre sten;Inget än;
2017;;Jularbo;20170704;Rotryckning;2;0;Lös finsand med vissa grövre sten;Inget än;
2017;;Jularbo;20170704;Rotryckning;3;70;Lös finsand med vissa grövre sten;Inget än;
2017;;Jularbo;20170704;Rotryckning;4;90;Lös finsand med vissa grövre sten;Inget än;
2017;;Jularbo;20170704;Rotryckning;5;25;Lös finsand med vissa grövre sten;Inget än;
2017;;Jularbo;20170704;Rotryckning;6;10;Lös finsand med vissa grövre sten;Inget än;
2017;;Byvalla;20170706;rotryckning/slåtter;1;5;Lös finsand med vissa grövre sten;Slåtter;
2017;;Byvalla;20170706;rotryckning/slåtter;2;5;Lös finsand med vissa grövre sten;Slåtter;
2017;;Byvalla;20170706;rotryckning/slåtter;3;10;Lös finsand med vissa grövre sten;Slåtter;
2017;;Byvalla;20170706;rotryckning/slåtter;4;30;Lös finsand med vissa grövre sten;Slåtter;
2017;;Byvalla;20170706;rotryckning/slåtter;5;10;Lös finsand med vissa grövre sten;Slåtter;
2017;;Byvalla;20170706;rotryckning/slåtter;6;0;Lös finsand med vissa grövre sten;Slåtter;
2017;;Byvalla;20170706;rotryckning;1;0;Lös finsand med vissa grövre sten;Ej slåtter;
2017;;Byvalla;20170706;rotryckning;2;0;Lös finsand med vissa grövre sten;Ej slåtter;
2017;;Byvalla;20170706;rotryckning;3;0;Lös finsand med vissa grövre sten;Ej slåtter;
2017;;Byvalla;20170706;rotryckning;4;0;Lös finsand med vissa grövre sten;Ej slåtter;
2017;;Byvalla;20170706;rotryckning;5;0;Lös finsand med vissa grövre sten;Ej slåtter;
2017;;Byvalla;20170706;rotryckning;6;5;Lös finsand med vissa grövre sten;Ej slåtter;
2017;;Gustafs;20170710;rotryckning/slåtter;1;0;Lös finsand;Slåtter;
2017;;Gustafs;20170710;rotryckning/slåtter;2;2;Lös finsand;Slåtter;
2017;;Gustafs;20170710;rotryckning/slåtter;3;3;Lös finsand;Slåtter;
2017;;Gustafs;20170710;rotryckning/slåtter;4;0;Lös finsand;Slåtter;
2017;;Gustafs;20170710;rotryckning/slåtter;5;0;Lös finsand;Slåtter;
2017;;Gustafs;20170710;rotryckning/slåtter;6;0;Lös finsand;Slåtter;
2017;;Gustafs;20170710;rotryckning;1;15;Lös finsand;Ej slåtter;
2017;;Gustafs;20170710;rotryckning;2;0;Lös finsand;Ej slåtter;
2017;;Gustafs;20170710;rotryckning;3;20;Lös finsand;Ej slåtter;
2017;;Gustafs;20170710;rotryckning;4;0;Lös finsand;Ej slåtter;
2017;;Gustafs;20170710;rotryckning;5;0;Lös finsand;Ej slåtter;
2017;;Gustafs;20170710;rotryckning;6;0;Lös finsand;Ej slåtter;
2016;0;Dagarn;20160815;rotryckning/slåtter;1;30;;;
2016;0;Dagarn;20160815;rotryckning/slåtter;2;30;;;
2016;0;Dagarn;20160815;rotryckning/slåtter;3;0;;;
2016;0;Dagarn;20160815;rotryckning/slåtter;4;5;Sand inblandat i jorden;;
2016;0;Dagarn;20160815;rotryckning/slåtter;5;0;Sand inblandat i jorden;;
2016;0;Dagarn;20160815;rotryckning/slåtter;6;5;;;
2016;0;Dala-Järna;20160818;rotryckning/slåtter;1;30;Sand förekommer som små sandblottor.;;
2016;0;Dala-Järna;20160818;rotryckning/slåtter;2;60;Packad sand blandad med grus.;;
2016;0;Dala-Järna;20160818;rotryckning/slåtter;3;40;Sandfläckar, måttligt packad sand.;;
2016;0;Dala-Järna;20160818;rotryckning/slåtter;4;60;Sandfläckar, måttligt packad sand.;;
2016;0;Dala-Järna;20160818;rotryckning/slåtter;5;60;Rätt hårt packad sand med grusinblandning.;;
2016;0;Dala-Järna;20160818;rotryckning/slåtter;6;50;Sand blandat med grus. Måttligt packat.;;
2016;0;Grängesberg;20160817;rotryckning;1;4;Tjockt mosstäcke, liten fläck med sandblandad jord.;;
2016;0;Grängesberg;20160817;rotryckning;2;0;Mossbevuxen jord/packad makadam.;;
2016;0;Grängesberg;20160817;rotryckning;3;2;Packad makadam med en sand-/jordblotta.;;
2016;0;Grängesberg;20160817;rotryckning;4;0;Mossa på makadam, viss torvbildnig;;
2016;0;Grängesberg;20160817;rotryckning;5;0;Sandblandad jord (lika delar) under mossan. Inga kala fläckar. ;;
2016;0;Grängesberg;20160817;rotryckning;6;0;;;
2016;0;Kopparberg;20160817;rotryckning;1;0;Hårt packat, grus och mossor;;
2016;0;Kopparberg;20160817;rotryckning;2;0;Hårt packat grus med sandblandad jord, mestadels mosstäckt;;
2016;0;Kopparberg;20160817;rotryckning;3;0;Hårt packat grus med sandblandad jord, mestadels mosstäckt;;
2016;0;Kopparberg;20160817;rotryckning;4;5;Inblandad jord mellan packat grus;;
2016;0;Kopparberg;20160817;rotryckning;5;0;Väldigt lite jord/sand finns mellan det hårt packade gruset;;
2016;0;Kopparberg;20160817;rotryckning;6;90;Finkornig packad sand med grusinblandning;;
2016;0;Kopparberg;20160817;ytskrapning;1;20;Sand inblandat i jord. Poröst.;;
2016;0;Kopparberg;20160817;ytskrapning;2;50;Sand i jorden. Lämpligt för grävande insekter, bohål finns.;;
2016;0;Kopparberg;20160817;ytskrapning;3;70;Yttersta 15 cm av ytan slagen vid vägslåtter. Bohål finns.;;
2016;0;Kopparberg;20160817;ytskrapning;4;40;Sand i jorden. Rätt mycket sten.;;
2016;0;Kopparberg;20160817;ytskrapning;5;50;Sanden uppblandad med jord och grus.;;
2016;0;Kopparberg;20160817;ytskrapning;6;50;;;
2016;0;Krampen;20160815;rotryckning;1;0;Grässvål;;
2016;0;Krampen;20160815;rotryckning;2;5;;;
2016;0;Krampen;20160815;rotryckning;3;5;;;
2016;0;Krampen;20160815;rotryckning;4;1;;;
2016;0;Krampen;20160816;rotryckning;5;5;;;
2016;0;Krampen;20160816;rotryckning;6;75;Uppblandat med grus;;
2016;0;Krampen;20160815;ytskrapning;1;75;Uppblandat med grus;;
2016;0;Krampen;20160815;ytskrapning;2;65;Uppblandat med grus;;
2016;0;Krampen;20160815;ytskrapning;3;85;Uppblandat med grus;;
2016;0;Krampen;20160815;ytskrapning;4;85;Uppblandat med grus;;
2016;0;Krampen;20160815;ytskrapning;5;90;Uppblandat med grus;;
2016;0;Krampen;20160815;ytskrapning;6;75;Rätt mycket sten. I övrigt sand/grus.;;
2016;0;Mockfjärd;20160818;rotryckning/slåtter;1;0;makadam;;
2016;0;Mockfjärd;20160818;rotryckning/slåtter;2;10;Sand förekommer inblandat i jorden och som små fläckar.;;
2016;0;Mockfjärd;20160818;rotryckning/slåtter;3;80;Sand blandat med olika grusfraktioner.;;
2016;0;Mockfjärd;20160818;rotryckning/slåtter;4;1;Sandblandad jord mellan makadam. En filtlavsmatta täcker större delen av rutan.;;
2016;0;Mockfjärd;20160818;rotryckning/slåtter;5;1;;;
2016;0;Mockfjärd;20160818;rotryckning/slåtter;6;0;Sandblandad jord under tätt mosslager. Grusinblandning.;;
2016;0;Repbäcken;20160818;rotryckning/slåtter;1;0;Grässvål/sten;;
2016;0;Repbäcken;20160818;rotryckning/slåtter;2;0;Grässvål/sten;;
2016;0;Repbäcken;20160818;rotryckning/slåtter;3;55;Uppblandat med finkornigt grus. Grässvål finns.;;
2016;0;Repbäcken;20160818;rotryckning/slåtter;4;95;Grusblandat. Bohål finns strax utanför rutan. Halvpackat men poröst.;;
2016;0;Repbäcken;20160818;rotryckning/slåtter;5;25;Mest grus. Packat.;;
2016;0;Repbäcken;20160818;rotryckning/slåtter;6;50;Grusblandad packad sand. Inslag av block och grässvål.;;
2016;0;Repbäcken;20160818;ytskrapning/slåtter;1;70;Sandblandad jord. Porös, lämplig för myror. Uppblandad till viss del med grus.;;
2016;0;Repbäcken;20160818;ytskrapning/slåtter;2;60;"Grus-/jordblandad sand i NV. ""Lagom"" packad. Inslag av större sten.";;
2016;0;Repbäcken;20160818;ytskrapning/slåtter;3;45;Grässvål och bitvis kraftigt grusinslag.;;
2016;0;Repbäcken;20160818;ytskrapning/slåtter;4;90;;;
2016;0;Repbäcken;20160818;ytskrapning/slåtter;5;50;"Grässvål och sand mellan ""plankor""";;
2016;0;Repbäcken;20160818;ytskrapning/slåtter;6;60;Grässvål och slipers;;
2016;0;Ställdalen;20160623;rotryckning/slåtter;1;0;;;
2016;0;Ställdalen;20160816;rotryckning/slåtter;2;0;;;
2016;0;Ställdalen;20160816;rotryckning/slåtter;3;6;Sand uppförd av myror.;;
2016;0;Ställdalen;20160816;rotryckning/slåtter;4;30;;;
2016;0;Ställdalen;20160816;rotryckning/slåtter;5;4;Mestadels grässvål;;
2016;0;Ställdalen;20160816;rotryckning/slåtter;6;45;Mycket sten;;
2016;0;Vansbro;20160819;ytskrapning/slåtter;1;45;Grusblandat med moss- och vegetationstäckning. Rätt packat.;;
2016;0;Vansbro;20160819;ytskrapning/slåtter;2;40;Grusblandat, grässvål;;
2016;0;Vansbro;20160819;ytskrapning/slåtter;3;50;Grusblandat, inte så mycket gräs;;
2016;0;Vansbro;20160819;ytskrapning/slåtter;4;50;Grusblandat, stenigt, tuvor av fårsvingel;;
2016;0;Vansbro;20160819;ytskrapning/slåtter;5;40;Grusblandat, stenigt;;
2016;0;Vansbro;20160819;ytskrapning/slåtter;6;60;Grusblandat, stenigt;;
2022;6;Dagarn;20220608;rotryckning/slåtter;1;0;;;
2022;6;Dagarn;20220608;rotryckning/slåtter;2;0;;;
2022;6;Dagarn;20220608;rotryckning/slåtter;3;1;Grovssandinblandat i jorden, lös;;
2022;6;Dagarn;20220608;rotryckning/slåtter;4;2;Grovsand inblandat i jorden och fläckvis enbart sand, lös;;
2022;6;Dagarn;20220608;rotryckning/slåtter;5;1;Mellan- Finland inblandad i organisk jord;;
2022;6;Dagarn;20220608;rotryckning/slåtter;6;60;Grov-fin delvis inblandad i jord;;
2022;6;Dala-Järna;20220806;rotryckning/slåtter;1;1;Grovt mellan grus. Löst.;;
2022;6;Dala-Järna;20220806;rotryckning/slåtter;2;1;Fin till grov.löst packad.;;
2022;6;Dala-Järna;20220806;rotryckning/slåtter;3;10;Fin till grov.hård med lösa partier. Grus ochsten.;;
2022;6;Dala-Järna;20220806;rotryckning/slåtter;4;1;Fin till grov.löst packad. Omgivet av mossa och dött org. material.;;
2022;6;Dala-Järna;20220806;rotryckning/slåtter;5;1;Fin till grov.löst packad. Omgivet av mossa och dött org. material.;;
2022;6;Dala-Järna;20220806;rotryckning/slåtter;6;1;Fin till grov.löst packad. Omgivet av mossa och dött org. material.;;
2022;6;Grängesberg;20220731;rotryckning;1;40;Grov till fin, blandat. Även grus och sten. Löst med hårda partier.;;
2022;6;Grängesberg;20220731;rotryckning;2;15;Mellan till fin,blandat. Även makadam. Lös medhårda partier.;;
2022;6;Grängesberg;20220731;rotryckning;3;10;Mellan till fin,blandat. Även makadam och grus. Lös medhårda partier.;;
2022;6;Grängesberg;20220731;rotryckning/slåtter;4;30;Hårt packad fin sand med lösa partier (få). Även grus och makadam. ;;
2022;6;Grängesberg;20220731;rotryckning/slåtter;5;15;Hårt packad fin sand. Även grus och makadam. ;;
2022;6;Grängesberg;20220731;rotryckning/slåtter;6;15;Hårt packad fin sand. Även grus och makadam. ;;
2022;6;Kopparberg;20220731;rotryckning;-;;Förstörd station;;
