Year;Years after milling;Station;Datum;Pairnr;Treatment;Jordtyp;Vegetation height cm;Litter depth cm;Dug holes;No.subplots.with.more.than.50.bare.soil;No.subplots.with.more.than.50.rock;Area for growth m2;No.subplots.with.more.than.50.grass;Art;Occurrences out of 25;Species;Family;Tree/bush
2020;Year 1;Norra Valbo;2020-06-15;1;Control;Fuktighållande naturgrus alla dimensioner upptill 1 dmsten;0;0;0;0;2;0,23;5;Rödven;23;Agrostis capillaris;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;1;Control;;0;0;0;0;2;0,23;5;Rödsvingel;3;Festuca rubra;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;1;Control;;0;0;0;0;2;0,23;5;Knippfryle;7;Luzula campestris;Juncaceae;0
2020;Year 1;Norra Valbo;2020-06-15;1;Control;;0;0;0;0;2;0,23;5;Hönsarv;1;Cerastium fontanum;Caryophyllaceae;0
2020;Year 1;Norra Valbo;2020-06-15;1;Control;;0;0;0;0;2;0,23;5;Äkta johannesört;8;Hypericum perforatum;Hypericaceae;0
2020;Year 1;Norra Valbo;2020-06-15;1;Control;;0;0;0;0;2;0,23;5;Vårtbjörk;25;Betula pendula;Betulaceae;1
2020;Year 1;Norra Valbo;2020-06-15;1;Control;;0;0;0;0;2;0,23;5;Renfana;4;Tanacetum vulgare;Asteraceae;0
2020;Year 1;Norra Valbo;2020-06-15;1;Control;;0;0;0;0;2;0,23;5;Ängssyra;1;Rumex acetosa;Polygonaceae;0
2020;Year 1;Norra Valbo;2020-06-15;1;Control;;0;0;0;0;2;0,23;5;Rödklöver;4;Trifolium pratense;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;1;Control;;0;0;0;0;2;0,23;5;Humlelusern;1;Medicago lupulina;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;1;Control;;0;0;0;0;2;0,23;5;Kråkvicker;1;Vicia cracca;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;3;Control;;0;0;0;1;2;0,23;1;Knippfryle;5;Luzula campestris;Juncaceae;0
2020;Year 1;Norra Valbo;2020-06-15;3;Control;;0;0;0;1;2;0,23;1;Renfana;2;Tanacetum vulgare;Asteraceae;0
2020;Year 1;Norra Valbo;2020-06-15;3;Control;;0;0;0;1;2;0,23;1;Kråkvicker;1;Vicia cracca;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;3;Control;;0;0;0;1;2;0,23;1;Stormåra;1;Gallium mollugo;Rubiaceae;0
2020;Year 1;Norra Valbo;2020-06-15;3;Control;;0;0;0;1;2;0,23;1;Hönsarv;1;Cerastium fontanum;Caryophyllaceae;0
2020;Year 1;Norra Valbo;2020-06-15;3;Control;;0;0;0;1;2;0,23;1;Knytling;7;Herniaria glabra;Caryophyllaceae;0
2020;Year 1;Norra Valbo;2020-06-15;3;Control;;0;0;0;1;2;0,23;1;Äkta johannesört;5;Hypericum perforatum;Hypericaceae;0
2020;Year 1;Norra Valbo;2020-06-15;3;Control;;0;0;0;1;2;0,23;1;Rödklöver;1;Trifolium pratense;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;3;Control;;0;0;0;1;2;0,23;1;Ängsklocka;3;Campanula patula;Campanulaceae;0
2020;Year 1;Norra Valbo;2020-06-15;3;Control;;0;0;0;1;2;0,23;1;Humlelusern;3;Medicago lupulina;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;3;Control;;0;0;0;1;2;0,23;1;Tall;1;Pinus sylvestris;Pinaceae;1
2020;Year 1;Norra Valbo;2020-06-15;3;Control;;0;0;0;1;2;0,23;1;Vårtbjörk;12;Betula pendula;Betulaceae;1
2020;Year 1;Norra Valbo;2020-06-15;1;Milled;;0;0;0;21;4;0,21;0;Äkta johannesört;5;Hypericum perforatum;Hypericaceae;0
2020;Year 1;Norra Valbo;2020-06-15;1;Milled;;0;0;0;21;4;0,21;0;Maskros;2;Taraxacum;Asteraceae;0
2020;Year 1;Norra Valbo;2020-06-15;1;Milled;;0;0;0;21;4;0,21;0;Tall;1;Pinus sylvestris;Pinaceae;1
2020;Year 1;Norra Valbo;2020-06-15;1;Milled;;0;0;0;21;4;0,21;0;Knippfryle;1;Luzula campestris;Juncaceae;0
2020;Year 1;Norra Valbo;2020-06-15;1;Milled;;0;0;0;21;4;0,21;0;Rödsvingel;3;Festuca rubra;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;1;Milled;;0;0;0;21;4;0,21;0;Rödven;1;Agrostis capillaris;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;1;Milled;;0;0;0;21;4;0,21;0;Hönsarv;2;Cerastium fontanum;Caryophyllaceae;0
2020;Year 1;Norra Valbo;2020-06-15;1;Milled;;0;0;0;21;4;0,21;0;Humlelusern;1;Medicago lupulina;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;1;Milled;;0;0;0;21;4;0,21;0;Svinmolke;2;Sonchus asper;Asteraceae;0
2020;Year 1;Norra Valbo;2020-06-15;3;Milled;F;0;0;0;22;3;0,22;0;Kråkvicker;3;Vicia cracca;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;3;Milled;;0;0;0;22;3;0,22;0;Rödven;1;Agrostis capillaris;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;3;Milled;;0;0;0;22;3;0,22;0;Rödsvingel;1;Festuca rubra;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;3;Milled;;0;0;0;22;3;0,22;0;Tall;1;Pinus sylvestris;Pinaceae;1
2020;Year 1;Norra Valbo;2020-06-15;3;Milled;;0;0;0;22;3;0,22;0;Hönsarv;6;Cerastium fontanum;Caryophyllaceae;0
2020;Year 1;Norra Valbo;2020-06-15;3;Milled;;0;0;0;22;3;0,22;0;Äkta johannesört;8;Hypericum perforatum;Hypericaceae;0
2020;Year 1;Norra Valbo;2020-06-15;3;Milled;;0;0;0;22;3;0,22;0;Knytling;1;Herniaria glabra;Caryophyllaceae;0
2020;Year 1;Norra Valbo;2020-06-15;3;Milled;;0;0;0;22;3;0,22;0;Svinmolke;1;Sonchus asper;Asteraceae;0
2020;Year 1;Norra Valbo;2020-06-15;3;Milled;;0;0;0;22;3;0,22;0;Knippfryle;1;Luzula campestris;Juncaceae;0
2020;Year 1;Norra Valbo;2020-06-15;4;Milled;;0;0;0;25;0;0,25;0;Rödven;3;Agrostis capillaris;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;4;Milled;;0;0;0;25;0;0,25;0;Knippfryle;1;Luzula campestris;Juncaceae;0
2020;Year 1;Norra Valbo;2020-06-15;4;Milled;;0;0;0;25;0;0,25;0;Rödsvingel;2;Festuca rubra;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;4;Milled;;0;0;0;25;0;0,25;0;Åkerfräken;7;Equisetum arvense;Equisetaceae;0
2020;Year 1;Norra Valbo;2020-06-15;4;Milled;;0;0;0;25;0;0,25;0;Hönsarv;3;Cerastium fontanum;Caryophyllaceae;0
2020;Year 1;Norra Valbo;2020-06-15;4;Milled;;0;0;0;25;0;0,25;0;Svinmolke;2;Sonchus asper;Asteraceae;0
2020;Year 1;Norra Valbo;2020-06-15;4;Milled;;0;0;0;25;0;0,25;0;Humlelusern;3;Medicago lupulina;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;4;Milled;;0;0;0;25;0;0,25;0;Äkta johannesört;14;Hypericum perforatum;Hypericaceae;0
2020;Year 1;Norra Valbo;2020-06-15;4;Milled;;0;0;0;25;0;0,25;0;Tall;1;Pinus sylvestris;Pinaceae;1
2020;Year 1;Norra Valbo;2020-06-15;5;Milled;;0;0;0;23;2;0,23;0;Rödven;4;Agrostis capillaris;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;5;Milled;;0;0;0;23;2;0,23;0;Knippfryle;2;Luzula campestris;Juncaceae;0
2020;Year 1;Norra Valbo;2020-06-15;5;Milled;;0;0;0;23;2;0,23;0;Tall;2;Pinus sylvestris;Pinaceae;1
2020;Year 1;Norra Valbo;2020-06-15;5;Milled;;0;0;0;23;2;0,23;0;Svinmolke;3;Sonchus asper;Asteraceae;0
2020;Year 1;Norra Valbo;2020-06-15;5;Milled;;0;0;0;23;2;0,23;0;Äkta johannesört;16;Hypericum perforatum;Hypericaceae;0
2020;Year 1;Norra Valbo;2020-06-15;5;Milled;;0;0;0;23;2;0,23;0;Ängsklocka;3;Campanula patula;Campanulaceae;0
2020;Year 1;Norra Valbo;2020-06-15;5;Milled;;0;0;0;23;2;0,23;0;Hönsarv;4;Cerastium fontanum;Caryophyllaceae;0
2020;Year 1;Norra Valbo;2020-06-15;5;Milled;;0;0;0;23;2;0,23;0;Knytling;2;Herniaria glabra;Caryophyllaceae;0
2020;Year 1;Norra Valbo;2020-06-15;5;Milled;;0;0;0;23;2;0,23;0;Sparvvicker;1;Vicia tetrasperma;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;5;Milled;;0;0;0;23;2;0,23;0;Åkerfräken;1;Equisetum arvense;Equisetaceae;0
2020;Year 1;Norra Valbo;2020-06-15;5;Milled;;0;0;0;23;2;0,23;0;Humlelusern;2;Medicago lupulina;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;6;Milled;;0;0;0;18;7;0,18;0;Rödsvingel;3;Festuca rubra;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;6;Milled;;0;0;0;18;7;0,18;0;Knippfryle;2;Luzula campestris;Juncaceae;0
2020;Year 1;Norra Valbo;2020-06-15;6;Milled;;0;0;0;18;7;0,18;0;Rödven;5;Agrostis capillaris;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;6;Milled;;0;0;0;18;7;0,18;0;Ängsklocka;4;Campanula patula;Campanulaceae;0
2020;Year 1;Norra Valbo;2020-06-15;6;Milled;;0;0;0;18;7;0,18;0;Äkta johannesört;9;Hypericum perforatum;Hypericaceae;0
2020;Year 1;Norra Valbo;2020-06-15;6;Milled;;0;0;0;18;7;0,18;0;Stormåra;1;Gallium mollugo;Rubiaceae;0
2020;Year 1;Norra Valbo;2020-06-15;6;Milled;;0;0;0;18;7;0,18;0;Svinmolke;4;Sonchus asper;Asteraceae;0
2020;Year 1;Norra Valbo;2020-06-15;6;Milled;;0;0;0;18;7;0,18;0;Humlelusern;3;Medicago lupulina;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;6;Milled;;0;0;0;18;7;0,18;0;Renfana;1;Tanacetum vulgare;Asteraceae;0
2020;Year 1;Norra Valbo;2020-06-15;6;Milled;;0;0;0;18;7;0,18;0;Hönsarv;4;Cerastium fontanum;Caryophyllaceae;0
2020;Year 1;Norra Valbo;2020-06-15;6;Milled;;0;0;0;18;7;0,18;0;Vårtbjörk;2;Betula pendula;Betulaceae;1
2020;Year 1;Norra Valbo;2020-06-15;4;Control;;2,5;0,5;0;0;0;0,25;3;Åkerfräken;23;Equisetum arvense;Equisetaceae;0
2020;Year 1;Norra Valbo;2020-06-15;4;Control;;2,5;0,5;0;0;0;0,25;3;Rödsvingel;25;Festuca rubra;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;4;Control;;2,5;0,5;0;0;0;0,25;3;Rödven;23;Agrostis capillaris;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;4;Control;;2,5;0,5;0;0;0;0,25;3;Äkta johannesört;8;Hypericum perforatum;Hypericaceae;0
2020;Year 1;Norra Valbo;2020-06-15;4;Control;;2,5;0,5;0;0;0;0,25;3;Brunört;25;Prunella vulgaris;Lamiaceae;0
2020;Year 1;Norra Valbo;2020-06-15;4;Control;;2,5;0,5;0;0;0;0,25;3;Rödklöver;2;Trifolium pratense;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;4;Control;;2,5;0,5;0;0;0;0,25;3;Renfana;2;Tanacetum vulgare;Asteraceae;0
2020;Year 1;Norra Valbo;2020-06-15;4;Control;;2,5;0,5;0;0;0;0,25;3;Vårtbjörk;18;Betula pendula;Betulaceae;1
2020;Year 1;Norra Valbo;2020-06-15;4;Control;;2,5;0,5;0;0;0;0,25;3;Kråkvicker;1;Vicia cracca;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;4;Control;;2,5;0,5;0;0;0;0,25;3;Knippfryle;10;Luzula campestris;Juncaceae;0
2020;Year 1;Norra Valbo;2020-06-15;4;Control;;2,5;0,5;0;0;0;0,25;3;Käringtand;3;Lotus corniculatus;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;4;Control;;2,5;0,5;0;0;0;0,25;3;Humlelusern;1;Medicago lupulina;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;4;Control;;2,5;0,5;0;0;0;0,25;3;Åkervädd;1;Knautia arvensis;Caprifoliaceae;0
2020;Year 1;Norra Valbo;2020-06-15;5;Control;;2,5;0;0;0;1;0,24;0;Åkerfräken;25;Equisetum arvense;Equisetaceae;0
2020;Year 1;Norra Valbo;2020-06-15;5;Control;;2,5;0;0;0;1;0,24;0;Knippfryle;22;Luzula campestris;Juncaceae;0
2020;Year 1;Norra Valbo;2020-06-15;5;Control;;2,5;0;0;0;1;0,24;0;Äkta johannesört;23;Hypericum perforatum;Hypericaceae;0
2020;Year 1;Norra Valbo;2020-06-15;5;Control;;2,5;0;0;0;1;0,24;0;Ängsklocka;2;Campanula patula;Campanulaceae;0
2020;Year 1;Norra Valbo;2020-06-15;5;Control;;2,5;0;0;0;1;0,24;0;Ängssyra;5;Rumex acetosa;Polygonaceae;0
2020;Year 1;Norra Valbo;2020-06-15;5;Control;;2,5;0;0;0;1;0,24;0;Vårtbjörk;22;Betula pendula;Betulaceae;1
2020;Year 1;Norra Valbo;2020-06-15;5;Control;;2,5;0;0;0;1;0,24;0;Kråkvicker;3;Vicia cracca;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;5;Control;;2,5;0;0;0;1;0,24;0;Brunört;25;Prunella vulgaris;Lamiaceae;0
2020;Year 1;Norra Valbo;2020-06-15;5;Control;;2,5;0;0;0;1;0,24;0;Lönn;1;Acer platanoides;Sapindaceae;1
2020;Year 1;Norra Valbo;2020-06-15;5;Control;;2,5;0;0;0;1;0,24;0;Käringtand;4;Lotus corniculatus;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;5;Control;;2,5;0;0;0;1;0,24;0;Åkervädd;1;Knautia arvensis;Caprifoliaceae;0
2020;Year 1;Norra Valbo;2020-06-15;5;Control;;2,5;0;0;0;1;0,24;0;Humlelusern;1;Medicago lupulina;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;5;Control;;2,5;0;0;0;1;0,24;0;Rödsvingel;21;Festuca rubra;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;5;Control;;2,5;0;0;0;1;0,24;0;Renfana;2;Tanacetum vulgare;Asteraceae;0
2020;Year 1;Norra Valbo;2020-06-15;5;Control;;2,5;0;0;0;1;0,24;0;Vitklöver;1;Trifolium repens;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;5;Control;;2,5;0;0;0;1;0,24;0;Hönsarv;3;Cerastium fontanum;Caryophyllaceae;0
2020;Year 1;Norra Valbo;2020-06-15;5;Control;;2,5;0;0;0;1;0,24;0;Rödven;6;Agrostis capillaris;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;5;Control;;2,5;0;0;0;1;0,24;0;Rödklöver;1;Trifolium pratense;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;6;Control;;1;0;0;0;5;0,2;3;Rödsvingel;21;Festuca rubra;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;6;Control;;1;0;0;0;5;0,2;3;Rödven;7;Agrostis capillaris;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;6;Control;;1;0;0;0;5;0,2;3;Kråkvicker;2;Vicia cracca;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;6;Control;;1;0;0;0;5;0,2;3;Käringtand;5;Lotus corniculatus;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;6;Control;;1;0;0;0;5;0,2;3;Humlelusern;3;Medicago lupulina;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;6;Control;;1;0;0;0;5;0,2;3;Ängssyra;1;Rumex acetosa;Polygonaceae;0
2020;Year 1;Norra Valbo;2020-06-15;6;Control;;1;0;0;0;5;0,2;3;Renfana;1;Tanacetum vulgare;Asteraceae;0
2020;Year 1;Norra Valbo;2020-06-15;6;Control;;1;0;0;0;5;0,2;3;Äkta johannesört;15;Hypericum perforatum;Hypericaceae;0
2020;Year 1;Norra Valbo;2020-06-15;6;Control;;1;0;0;0;5;0,2;3;Knippfryle;13;Luzula campestris;Juncaceae;0
2020;Year 1;Norra Valbo;2020-06-15;6;Control;;1;0;0;0;5;0,2;3;Åkerfräken;18;Equisetum arvense;Equisetaceae;0
2020;Year 1;Norra Valbo;2020-06-15;6;Control;;1;0;0;0;5;0,2;3;Vårtbjörk;24;Betula pendula;Betulaceae;1
2020;Year 1;Norra Valbo;2020-06-15;6;Control;;1;0;0;0;5;0,2;3;Ängsklocka;5;Campanula patula;Campanulaceae;0
2020;Year 1;Norra Valbo;2020-06-15;6;Control;;1;0;0;0;5;0,2;3;Hönsarv;2;Cerastium fontanum;Caryophyllaceae;0
2020;Year 1;Norra Valbo;2020-06-15;6;Control;;1;0;0;0;5;0,2;3;Brunört;4;Prunella vulgaris;Lamiaceae;0
2020;Year 1;Norra Valbo;2020-06-15;6;Control;;1;0;0;0;5;0,2;3;Åkervädd;2;Knautia arvensis;Caprifoliaceae;0
2020;Year 1;Norra Valbo;2020-06-15;6;Control;;1;0;0;0;5;0,2;3;Rödklöver;1;Trifolium pratense;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Control;;1;0;0;0;2;0,23;0;Åkervädd;4;Knautia arvensis;Caprifoliaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Control;;1;0;0;0;2;0,23;0;Sälg;13;Salix caprea;Salicaceae;1
2020;Year 1;Norra Valbo;2020-06-15;7;Control;;1;0;0;0;2;0,23;0;Tall;2;Pinus sylvestris;Pinaceae;1
2020;Year 1;Norra Valbo;2020-06-15;7;Control;;1;0;0;0;2;0,23;0;Renfana;2;Tanacetum vulgare;Asteraceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Control;;1;0;0;0;2;0,23;0;Brunört;14;Prunella vulgaris;Lamiaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Control;;1;0;0;0;2;0,23;0;Ängssyra;4;Rumex acetosa;Polygonaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Control;;1;0;0;0;2;0,23;0;Hönsarv;3;Cerastium fontanum;Caryophyllaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Control;;1;0;0;0;2;0,23;0;Vårtbjörk;15;Betula pendula;Betulaceae;1
2020;Year 1;Norra Valbo;2020-06-15;7;Control;;1;0;0;0;2;0,23;0;Humlelusern;3;Medicago lupulina;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Control;;1;0;0;0;2;0,23;0;Äkta johannesört;18;Hypericum perforatum;Hypericaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Control;;1;0;0;0;2;0,23;0;Rödsvingel;24;Festuca rubra;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Control;;1;0;0;0;2;0,23;0;Knippfryle;18;Luzula campestris;Juncaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Control;;1;0;0;0;2;0,23;0;Ängsklocka;1;Campanula patula;Campanulaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Control;;1;0;0;0;2;0,23;0;Rödven;4;Agrostis capillaris;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Control;;1;0;0;0;2;0,23;0;Åkerfräken;15;Equisetum arvense;Equisetaceae;0
2020;Year 1;Norra Valbo;2020-06-15;7;Control;;1;0;0;0;2;0,23;0;Rödklöver;2;Trifolium pratense;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Control;;1,5;0;0;1;3;0,22;5;Åkerfräken;11;Equisetum arvense;Equisetaceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Control;;1,5;0;0;1;3;0,22;5;Renfana;4;Tanacetum vulgare;Asteraceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Control;;1,5;0;0;1;3;0,22;5;Knippfryle;10;Luzula campestris;Juncaceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Control;;1,5;0;0;1;3;0,22;5;Käringtand;5;Lotus corniculatus;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Control;;1,5;0;0;1;3;0,22;5;Humlelusern;3;Medicago lupulina;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Control;;1,5;0;0;1;3;0,22;5;Äkta johannesört;12;Hypericum perforatum;Hypericaceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Control;;1,5;0;0;1;3;0,22;5;Rödklöver;3;Trifolium pratense;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Control;;1,5;0;0;1;3;0,22;5;Vårtbjörk;18;Betula pendula;Betulaceae;1
2020;Year 1;Norra Valbo;2020-06-15;8;Control;;1,5;0;0;1;3;0,22;5;Rödsvingel;24;Festuca rubra;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Control;;1,5;0;0;1;3;0,22;5;Rödven;1;Agrostis capillaris;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;8;Control;;1,5;0;0;1;3;0,22;5;Ängsklocka;1;Campanula patula;Campanulaceae;0
2020;Year 1;Norra Valbo;2020-06-15;9;Control;;0;0;0;0;2;0,23;0;Ängsgröe;3;Poa pratensis;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;9;Control;;0;0;0;0;2;0,23;0;Rödven;16;Agrostis capillaris;Poaceae;0
2020;Year 1;Norra Valbo;2020-06-15;9;Control;;0;0;0;0;2;0,23;0;Kråkvicker;4;Vicia cracca;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;9;Control;;0;0;0;0;2;0,23;0;Renfana;6;Tanacetum vulgare;Asteraceae;0
2020;Year 1;Norra Valbo;2020-06-15;9;Control;;0;0;0;0;2;0,23;0;Humlelusern;13;Medicago lupulina;Fabaceae;0
2020;Year 1;Norra Valbo;2020-06-15;9;Control;;0;0;0;0;2;0,23;0;Vårtbjörk;19;Betula pendula;Betulaceae;1
2020;Year 1;Norra Valbo;2020-06-15;9;Control;;0;0;0;0;2;0,23;0;Gran;1;Picea abies;Pinaceae;1
2020;Year 1;Norra Valbo;2020-06-15;9;Control;;0;0;0;0;2;0,23;0;Sälg;2;Salix caprea;Salicaceae;1
2020;Year 1;Norra Valbo;2020-06-15;9;Control;;0;0;0;0;2;0,23;0;Äkta johannesört;13;Hypericum perforatum;Hypericaceae;0
2020;Year 1;Norra Valbo;2020-06-15;9;Control;;0;0;0;0;2;0,23;0;Svinmolke;2;Sonchus asper;Asteraceae;0
2020;Year 1;Norra Valbo;2020-06-15;9;Control;;0;0;0;0;2;0,23;0;Hönsarv;6;Cerastium fontanum;Caryophyllaceae;0
2020;Year 1;Norra Valbo;2020-06-15;9;Control;;0;0;0;0;2;0,23;0;Åkervädd;1;Knautia arvensis;Caprifoliaceae;0
