Year;Station;Pairnr;Treatment;Taxa_S;Vegetation.height;Litter.depth;Bare.soil;Rock;Grass;Area.for.growth.m2;Margalef;Equitability_J;Individuals;Dominance_D;Simpson_1-D;Shannon_H;Evenness_e^H/S;Brillouin;Menhinick
Year 1;Mo Grindar;1;Control;4;0;1,5;0;1;1;0,24;0,7836;0,8397;46;0,3536;0,6464;1,164;0,8007;1,02;0,5898
Year 1;Mo Grindar;1;Milled;1;0;0;24;1;0;0,24;0;;1;NAN;NAN;0;1;0;1
Year 1;Mo Grindar;3;Control;1;20;3;0;0;0;0,25;0;;8;1;0;0;1;0;0,3536
Year 1;Mo Grindar;3;Milled;1;0;0;10;15;0;0,1;0;;2;1;0;0;1;0;0,7071
Year 1;Mo Grindar;4;Control;1;35;2;0;0;0;0,25;0;;25;1;0;0;1;0;0,2
Year 1;Mo Grindar;4;Milled;0;0;0;21;4;0;0,21;;;;;;;;;
Year 1;Mo Grindar;5;Control;3;20;1;0;0;0;0,25;0,6379;0,3634;23;0,83;0,17;0,3992;0,4969;0,2707;0,6255
Year 1;Mo Grindar;5;Milled;0;0;0;21;4;0;0,21;;;;;;;;;
Year 1;Mo Grindar;6;Control;5;0;0,5;4;6;1;0,19;1,335;0,9215;20;0,2368;0,7632;1,483;0,8814;1,13;1,118
Year 1;Mo Grindar;6;Milled;0;0;0;22;3;0;0,22;;;;;;;;;
Year 1;Mo Grindar;7;Control;2;7,5;0;6;0;0;0,25;0,3107;0,7508;25;0,6667;0,3333;0,5204;0,8414;0,4352;0,4
Year 1;Mo Grindar;7;Milled;2;0;0;8;17;0;0,08;0,6213;1,115;5;0,4;0,6;0,773;1,083;0,4605;0,8944
Year 1;Mo Grindar;8;Control;5;10;0,5;0;8;0;0,17;1,116;0,6376;36;0,5016;0,4984;1,026;0,5581;0,8264;0,8333
Year 1;Mo Grindar;8;Milled;1;0;0;22;3;0;0,22;0;;3;1;0;0;1;0;0,5774
Year 1;Mo Grindar;9;Control;2;10;2;0;10;0;0,15;0,3034;0,4077;27;0,8575;0,1425;0,2826;0,6633;0,2171;0,3849
Year 1;Mo Grindar;9;Milled;3;0;0;8;17;0;0,08;1,82;1,303;3;0;1;1,432;1,396;0,5973;1,732
Year 1;Norra Valbo;1;Control;11;0;0;0;2;5;0,23;2,295;0,7891;78;0,2055;0,7945;1,892;0,6031;1,641;1,246
Year 1;Norra Valbo;1;Milled;9;0;0;21;4;0;0,21;2,768;1,025;18;0,1046;0,8954;2,251;1,056;1,541;2,121
Year 1;Norra Valbo;3;Control;12;0;0;1;2;1;0,23;2,943;0,91;42;0,1324;0,8676;2,261;0,7995;1,795;1,852
Year 1;Norra Valbo;3;Milled;9;0;0;22;3;0;0,22;2,551;0,899;23;0,1818;0,8182;1,975;0,8011;1,419;1,877
Year 1;Norra Valbo;4;Control;13;2,5;0,5;0;0;3;0,25;2,421;0,8423;142;0,1336;0,8664;2,161;0,6674;1,976;1,091
Year 1;Norra Valbo;4;Milled;9;0;0;25;0;0;0,25;2,232;0,8822;36;0,1952;0,8048;1,938;0,7719;1,534;1,5
Year 1;Norra Valbo;5;Control;18;2,5;0;0;1;0;0,24;3,318;0,8291;168;0,1115;0,8885;2,397;0,6103;2,184;1,389
Year 1;Norra Valbo;5;Milled;11;0;0;23;2;0;0,23;2,711;0,8858;40;0,1821;0,8179;2,124;0,7605;1,673;1,739
Year 1;Norra Valbo;6;Control;16;1;0;0;5;3;0,2;3,112;0,8618;124;0,1147;0,8853;2,39;0,6818;2,136;1,437
Year 1;Norra Valbo;6;Milled;11;0;0;18;7;0;0,18;2,749;0,9812;38;0,1024;0,8976;2,353;0,9559;1,865;1,784
Year 1;Norra Valbo;7;Control;16;1;0;0;2;0;0,23;3,027;0,894;142;0,09869;0,9013;2,479;0,7454;2,245;1,343
Year 1;Norra Valbo;7;Milled;10;0;0;24;1;0;0,24;2,646;0,8518;30;0,2;0,8;1,961;0,7109;1,469;1,826
Year 1;Norra Valbo;8;Control;11;1,5;0;1;3;5;0,22;2,212;0,8762;92;0,1474;0,8526;2,101;0,7432;1,868;1,147
Year 1;Norra Valbo;8;Milled;9;0;0;23;2;0;0,23;2,025;0,7921;52;0,2647;0,7353;1,74;0,6333;1,448;1,248
Year 1;Norra Valbo;9;Control;16;0;0;0;2;0;0,23;3,325;0,8581;91;0,1194;0,8806;2,379;0,6747;2,059;1,677
Year 1;Norra Valbo;9;Milled;13;0;0;23;2;0;0,23;3,171;0,8502;44;0,1575;0,8425;2,181;0,681;1,718;1,96
Year 1;Storvik;1;Control;6;10;0,5;0;0;0;0,25;1,198;0,7551;65;0,3043;0,6957;1,353;0,6448;1,195;0,7442
Year 1;Storvik;1;Milled;9;0;0;24;1;1;0,24;2,127;0,882;43;0,1949;0,8051;1,938;0,7717;1,584;1,372
Year 1;Storvik;3;Control;9;0;0;0;0;1;0,25;1,954;0,8585;60;0,1932;0,8068;1,886;0,7328;1,618;1,162
Year 1;Storvik;3;Milled;10;0;0;1;24;1;0,01;2,762;0,9817;26;0,1138;0,8862;2,26;0,9587;1,673;1,961
Year 1;Storvik;4;Control;5;2,5;2;0;0;1;0,25;1,057;0,6749;44;0,4165;0,5835;1,086;0,5926;0,9166;0,7538
Year 1;Storvik;4;Milled;5;0;0;24;1;0;0,24;1,276;0,9025;23;0,2648;0,7352;1,453;0,8548;1,133;1,043
Year 1;Storvik;5;Control;3;0;1;0;0;3;0,25;0,572;0,6558;33;0,5985;0,4015;0,7205;0,6851;0,5993;0,5222
Year 1;Storvik;5;Milled;8;0;0;21;4;0;0,21;1,772;0,7906;52;0,2564;0,7436;1,644;0,647;1,384;1,109
Year 1;Storvik;6;Control;7;5;1;0;0;2;0,25;1,595;0,6992;43;0,3732;0,6268;1,36;0,5569;1,11;1,067
Year 1;Storvik;6;Milled;7;0;0;10;6;1;0,19;1,605;0,8579;42;0,2172;0,7828;1,669;0,7584;1,394;1,08
Year 1;Storvik;7;Control;6;0;0,5;1;5;0;0,2;1,221;0,8654;60;0,2508;0,7492;1,551;0,7857;1,366;0,7746
Year 1;Storvik;7;Milled;7;0;0;11;14;0;0,11;1,82;0,9537;27;0,1652;0,8348;1,856;0,9138;1,449;1,347
Year 1;Storvik;8;Control;7;1;1;1;4;0;0,21;1,454;0,8931;62;0,1962;0,8038;1,738;0,8122;1,528;0,889
Year 1;Storvik;8;Milled;4;0;0;18;7;0;0,18;1,108;0,9705;15;0,2762;0,7238;1,345;0,96;0,9873;1,033
Year 1;Storvik;9;Control;5;7,5;2;0;0;0;0,25;0,977;0,758;60;0,3486;0,6514;1,22;0,6774;1,078;0,6455
Year 1;Storvik;9;Milled;7;0;0;18;7;0;0,18;1,542;0,9639;49;0,1633;0,8367;1,876;0,9322;1,611;1
Year 1;Tallåsen;1;Control;3;5;3;0;0;0;0,25;0,5539;0,7014;37;0,5135;0,4865;0,7706;0,7203;0,6637;0,4932
Year 1;Tallåsen;1;Milled;0;0;0;24;1;0;0,24;;;;;;;;;
Year 1;Tallåsen;3;Control;2;0;0,5;3;1;0;0,24;0,3001;0,7027;28;0,6958;0,3042;0,4871;0,8138;0,4106;0,378
Year 1;Tallåsen;3;Milled;0;0;0;24;1;0;0,24;;;;;;;;;
Year 1;Tallåsen;4;Control;3;2,5;1;0;0;0;0,25;0,5672;0,6804;34;0,574;0,426;0,7475;0,7039;0,6282;0,5145
Year 1;Tallåsen;4;Milled;2;0;0;20;5;0;0,2;0,9102;1,159;3;0,3333;0,6667;0,8032;1,116;0,3662;1,155
Year 1;Tallåsen;5;Control;2;2,5;0;2;1;0;0,24;0,3069;0,2629;26;0,9231;0,07692;0,1823;0,6;0,1253;0,3922
Year 1;Tallåsen;5;Milled;2;0;0;14;11;0;0,14;0,9102;1,159;3;0,3333;0,6667;0,8032;1,116;0,3662;1,155
Year 1;Tallåsen;6;Control;1;0;0;2;12;;0,13;0;;14;1;0;0;1;0;0,2673
Year 1;Tallåsen;6;Milled;1;0;0;8;17;0;0,08;0;;1;NAN;NAN;0;1;0;1
Year 1;Tallåsen;7;Control;1;0;0;8;8;0;0,17;0;;19;1;0;0;1;0;0,2294
Year 1;Tallåsen;7;Milled;2;0;0;4;21;0;0,04;1,443;1,361;2;0;1;0,9431;1,284;0,3466;1,414
Year 1;Tallåsen;8;Control;7;5;2;0;0;0;0,25;1,519;0,7377;52;0,316;0,684;1,435;0,6002;1,215;0,9707
Year 1;Tallåsen;8;Milled;4;0;0;12;13;0;0,12;1,443;0,9097;8;0,3571;0,6429;1,261;0,8823;0,7271;1,414
Year 1;Tallåsen;9;Control;9;5;1,5;2;0;0;0,25;1,896;0,8582;68;0,2037;0,7963;1,886;0,7323;1,636;1,091
Year 1;Tallåsen;9;Milled;5;0;0;15;10;0;0,15;1,259;0,8946;24;0,2754;0,7246;1,44;0,8439;1,13;1,021
Year 2;Mo Grindar;1;Control;4;1;0,5;0;2;0;0,23;0,8247;0,7135;38;0,4708;0,5292;0,9892;0,6722;0,8329;0,6489
Year 2;Mo Grindar;1;Milled;4;1;0;22;1;2;0,24;0,7708;0,8236;49;0,3478;0,6522;1,142;0,7831;1,01;0,5714
Year 2;Mo Grindar;3;Control;1;0;1;0;4;P;0,21;0;;25;1;0;0;1;0;0,2
Year 2;Mo Grindar;3;Milled;9;0;0;13;7;1;0,18;2,25;0,928;35;0,1529;0,8471;2,039;0,8536;1,619;1,521
Year 2;Mo Grindar;4;Control;1;10;2,5;0;3;0;0,22;0;;25;1;0;0;1;0;0,2
Year 2;Mo Grindar;4;Milled;4;5;0;9;9;4;0,16;0,8909;0,864;29;0,3276;0,6724;1,198;0,8281;0,9936;0,7428
Year 2;Mo Grindar;5;Control;1;15;1;0;0;0;0,25;0;;24;1;0;0;1;0;0,2041
Year 2;Mo Grindar;5;Milled;6;0;0;13;3;6;0,22;1,443;0,5169;32;0,6109;0,3891;0,9261;0,4208;0,6801;1,061
Year 2;Mo Grindar;6;Control;2;10;1,5;3;6;0;0,19;0,2659;0,9976;43;0,5017;0,4983;0,6915;0,9983;0,631;0,305
Year 2;Mo Grindar;6;Milled;6;0;0;25;2;0;0,23;1,803;0,9813;16;0,1833;0,8167;1,758;0,9671;1,238;1,5
Year 2;Mo Grindar;7;Control;4;15;1,5;0;1;0;0,24;0,8909;0,5345;29;0,6379;0,3621;0,741;0,5245;0,568;0,7428
Year 2;Mo Grindar;7;Milled;2;2,5;0;19;2;0;0,23;0,3147;0,7683;24;0,6558;0,3442;0,5326;0,8517;0,4441;0,4082
Year 2;Mo Grindar;8;Control;6;1,5;0,5;5;5;2;0,2;1,321;0,6487;44;0,3953;0,6047;1,162;0,5329;0,9624;0,9045
Year 2;Mo Grindar;8;Milled;6;0;0;24;2;1;0,23;1,765;0,9064;17;0,2353;0,7647;1,624;0,8456;1,147;1,455
Year 2;Mo Grindar;9;Control;2;5;2;0;6;0;0,19;0,3034;0,4077;27;0,8575;0,1425;0,2826;0,6633;0,2171;0,3849
Year 2;Mo Grindar;9;Milled;4;0;0;25;0;0;0,25;1,251;0,9933;11;0,2545;0,7455;1,377;0,9908;0,93;1,206
Year 2;Norra Valbo;1;Control;11;2,5;1;0;0;0;0,25;2,201;0,7436;94;0,2132;0,7868;1,783;0,5407;1,577;1,135
Year 2;Norra Valbo;1;Milled;9;2,5;0;19;2;0;0,23;2,078;0,8393;47;0,2091;0,7909;1,844;0,7026;1,525;1,313
Year 2;Norra Valbo;3;Control;11;0;0,5;2;3;4;0,22;2,354;0,7074;70;0,2621;0,7379;1,696;0,4958;1,438;1,315
Year 2;Norra Valbo;3;Milled;10;0;0,5;8;0;1;0,25;2,364;0,6918;45;0,3141;0,6859;1,593;0,4918;1,26;1,491
Year 2;Norra Valbo;4;Control;8;10;2;0;0;0;0,25;1,517;0,7881;101;0,2162;0,7838;1,639;0,6437;1,491;0,796
Year 2;Norra Valbo;4;Milled;13;2,5;0,5;0;0;0;0,25;2,771;0,8578;76;0,1442;0,8558;2,2;0,6943;1,891;1,491
Year 2;Norra Valbo;5;Control;11;20;1,5;0;1;0;0,24;2,176;0,792;99;0,188;0,812;1,899;0,6073;1,693;1,106
Year 2;Norra Valbo;5;Milled;13;0;0;25;3;0;0,22;2,875;0,8745;65;0,1399;0,8601;2,243;0,7248;1,889;1,612
Year 2;Norra Valbo;6;Control;16;7,5;0,5;0;1;0;0,24;3,367;0,7785;86;0,1817;0,8183;2,158;0,5411;1,835;1,725
Year 2;Norra Valbo;6;Milled;16;2,5;0;13;5;0;0,2;3,634;0,8597;62;0,1438;0,8562;2,384;0,6777;1,947;2,032
Year 2;Norra Valbo;7;Control;12;10;1;0;1;1;0,24;2,373;0,8422;103;0,155;0,845;2,093;0,6757;1,866;1,182
Year 2;Norra Valbo;7;Milled;12;0;0;22;9;0;0,16;2,34;0,8002;110;0,1675;0,8325;1,988;0,6086;1,783;1,144
Year 2;Norra Valbo;8;Control;12;5;0,5;0;2;0;0,23;2,298;0,8426;120;0,1476;0,8524;2,094;0,6764;1,896;1,095
Year 2;Norra Valbo;8;Milled;13;1;0;11;11;1;0,14;2,854;0,8745;67;0,1316;0,8684;2,243;0,7247;1,901;1,588
Year 2;Norra Valbo;9;Control;5;10;2,5;1;1;3;0,24;0,9851;0,7191;58;0,3696;0,6304;1,157;0,6363;1,017;0,6565
Year 2;Norra Valbo;9;Milled;11;5;0,5;6;3;2;0,22;2,245;0,7166;86;0,2309;0,7691;1,718;0,5069;1,502;1,186
Year 2;Storvik;1;Control;6;7,5;1;0;0;0;0,25;1,177;0,8295;70;0,2671;0,7329;1,486;0,7368;1,327;0,7171
Year 2;Storvik;1;Milled;7;5;0,5;0;2;0;0,23;1,422;0,7548;68;0,2801;0,7199;1,469;0,6205;1,291;0,8489
Year 2;Storvik;3;Control;9;40;0,5;0;0;0;0,25;1,646;0,9044;129;0,147;0,853;1,987;0,8105;1,838;0,7924
Year 2;Storvik;3;Milled;6;5;1;0;0;19;0,25;1,135;0,8905;82;0,2216;0,7784;1,596;0,8218;1,453;0,6626
Year 2;Storvik;4;Control;6;30;0,5;0;3;0;0,22;1,253;0,641;54;0,3885;0,6115;1,149;0,5256;0,98;0,8165
Year 2;Storvik;4;Milled;4;0;0;19;4;0;0,21;0,8736;0,9555;31;0,2774;0,7226;1,325;0,9402;1,117;0,7184
Year 2;Storvik;5;Control;5;1;0,5;0;0;21;0,25;1,116;0,6298;36;0,5048;0,4952;1,014;0,5511;0,8151;0,8333
Year 2;Storvik;5;Milled;7;0;0;20;10;0;0,15;1,674;0,808;36;0,2587;0,7413;1,572;0,6883;1,272;1,167
Year 2;Storvik;6;Control;10;10;1;0;0;7;0,25;2,072;0,7505;77;0,2355;0,7645;1,728;0,5631;1,502;1,14
Year 2;Storvik;6;Milled;6;1,5;0;15;0;9;0,25;1,395;0,9969;36;0,1651;0,8349;1,786;0,9945;1,495;1
Year 2;Storvik;7;Control;8;1;0;9;7;1;0,18;1,818;0,6802;47;0,3525;0,6475;1,415;0,5143;1,153;1,167
Year 2;Storvik;7;Milled;4;0;0;22;10;6;0,15;1,038;0,868;18;0,3529;0,6471;1,203;0,8328;0,9067;0,9428
Year 2;Storvik;8;Control;8;2,5;0,5;0;6;0;0,19;1,724;0,8258;58;0,2317;0,7683;1,717;0,6961;1,475;1,05
Year 2;Storvik;8;Milled;8;2,5;0;1;11;2;0,14;1,696;0,7116;62;0,2951;0,7049;1,48;0,5489;1,269;1,016
Year 2;Storvik;9;Control;6;15;1,5;0;0;2;0,25;1,144;0,741;79;0,2924;0,7076;1,328;0,6287;1,197;0,6751
Year 2;Storvik;9;Milled;9;7,5;0,5;0;0;2;0,25;1,719;0,8469;105;0,1734;0,8266;1,861;0,7143;1,694;0,8783
Year 2;Tallåsen;1;Control;3;5;1;1;0;0;0,25;0,5771;0,6426;32;0,623;0,377;0,706;0,6753;0,5808;0,5303
Year 2;Tallåsen;1;Milled;9;1;0;22;0;0;0,25;2,288;0,9268;33;0,1515;0,8485;2,036;0,8515;1,6;1,567
Year 2;Tallåsen;3;Control;3;2,5;2,5;0;1;0;0,24;0,6002;0,4789;28;0,7381;0,2619;0,5262;0,5641;0,404;0,5669
Year 2;Tallåsen;3;Milled;7;0;0;23;22;0;0,03;1,941;0,9254;22;0,2035;0,7965;1,801;0,8648;1,332;1,492
Year 2;Tallåsen;4;Control;2;2,5;1;0;0;0;0,25;0,3034;0,4077;27;0,8575;0,1425;0,2826;0,6633;0,2171;0,3849
Year 2;Tallåsen;4;Milled;5;0;0;25;12;0;0,13;1,243;0,6533;25;0,52;0,48;1,051;0,5724;0,7811;1
Year 2;Tallåsen;5;Control;3;5;2;0;0;0;0,25;0,5498;0,8009;38;0,4865;0,5135;0,8799;0,8036;0,7628;0,4867
Year 2;Tallåsen;5;Milled;7;0;0;24;5;0;0,2;1,888;0,962;24;0,1775;0,8225;1,872;0,9288;1,422;1,429
Year 2;Tallåsen;6;Control;4;1;0;8;2;0;0,23;0,9003;0,7088;28;0,4868;0,5132;0,9827;0,6679;0,7847;0,7559
Year 2;Tallåsen;6;Milled;6;0;0;25;5;0;0,2;1,47;0,8561;30;0,2713;0,7287;1,534;0,7727;1,224;1,095
Year 2;Tallåsen;7;Control;3;0;0;25;1;0;0,24;0,9618;1,001;8;0,3214;0,6786;1,099;1,001;0,7043;1,061
Year 2;Tallåsen;7;Milled;7;0;0;25;2;0;0,23;1,801;0,9115;28;0,1958;0,8042;1,774;0,8418;1,386;1,323
Year 2;Tallåsen;8;Control;6;2,5;1;0;2;0;0,23;1,385;0,7183;37;0,4069;0,5931;1,287;0,6037;1,037;0,9864
Year 2;Tallåsen;8;Milled;7;0;0;25;3;0;0,22;2,164;0,981;16;0,1667;0,8333;1,909;0,9637;1,307;1,75
Year 2;Tallåsen;9;Control;5;5;2,5;0;1;0;0,24;1,108;0,8805;37;0,2778;0,7222;1,417;0,8251;1,194;0,822
Year 2;Tallåsen;9;Milled;9;0;0;22;2;0;0,23;2,308;0,8498;32;0,2258;0,7742;1,867;0,7189;1,435;1,591
